type,size,original,mzip,zstd,gzip,bzip2,xz,brotli,7z,rar,lz4,snappy,time_mzip,time_zstd,decomp_mzip,decomp_zstd,detected,verified,mzip_ratio,advantage,winner
Unicode text,4KB,4096,626,626,647,647,652,0,730,723,0,0,57.17,3.67,0.04,0.03,BWT_TEXT,yes,6.54,1.000,mzip
Email headers,4KB,4096,1166,1166,1188,1201,1208,0,1284,1283,0,0,62.11,1.84,0.04,0.01,BWT_TEXT,yes,3.51,1.000,mzip
GraphQL queries,4KB,4096,734,734,756,753,792,0,870,847,0,0,63.87,4.89,0.04,0.02,BWT_TEXT,yes,5.58,1.000,mzip
Image gradient,4KB,4096,36,36,62,63,96,0,172,114,0,0,53.52,0.04,13.20,0.00,NUMERIC,yes,113.78,1.000,mzip
Makefile,4KB,4096,816,816,860,873,868,0,943,900,0,0,61.44,2.35,0.05,0.01,BWT_TEXT,yes,5.02,1.000,mzip
Cargo.toml,4KB,4096,815,815,829,897,856,0,934,904,0,0,59.37,2.76,0.03,0.02,BWT_TEXT,yes,5.03,1.000,mzip
package.json,4KB,4096,842,842,857,859,872,0,948,947,0,0,59.75,2.42,0.04,0.02,BWT_TEXT,yes,4.86,1.000,mzip
K8s manifests,4KB,4096,847,847,859,951,908,0,984,950,0,0,61.46,3.07,0.04,0.01,BWT_TEXT,yes,4.84,1.000,mzip
.env file,4KB,4096,1746,1746,1757,1849,1836,0,1911,1858,0,0,59.07,1.19,0.05,0.01,BWT_TEXT,yes,2.35,1.000,mzip
Go,16KB,16384,1733,1733,1759,1758,1760,0,1836,1851,0,0,88.96,22.51,0.07,0.03,BWT_TEXT,yes,9.45,1.000,mzip
Terraform HCL,4KB,4096,687,687,721,843,752,0,827,780,0,0,61.89,4.53,0.04,0.02,BWT_TEXT,yes,5.96,1.000,mzip
Docker Compose,4KB,4096,608,608,629,717,648,0,725,698,0,0,67.81,5.87,0.03,0.01,BWT_TEXT,yes,6.74,1.000,mzip
Rust,256KB,262144,9313,14538,17071,9310,15292,0,15375,15988,0,0,594.03,326.83,28.42,0.18,BWT_TEXT,yes,28.15,1.000,bzip2
package.json,256KB,262144,15605,23867,25471,15598,22632,0,22715,26361,0,0,468.15,198.61,24.47,0.22,BWT_TEXT,yes,16.80,1.000,bzip2
Metrics/TSeries,256KB,262144,30219,34067,35555,30165,33652,0,33738,41274,0,0,399.94,198.72,22.27,0.27,TEMPLATE,yes,8.67,0.998,bzip2
Natural text,256KB,262144,28840,39139,40475,28788,38744,0,38829,42530,0,0,420.61,167.82,22.89,0.40,BWT_TEXT,yes,9.09,0.998,bzip2
SQL dump,256KB,262028,15427,23783,25763,15397,23692,0,23775,25837,0,0,593.84,287.61,25.82,0.25,BWT_TEXT,yes,16.99,0.998,bzip2
Terraform HCL,256KB,262144,11344,11884,14975,11320,11512,0,11597,14238,0,0,721.57,443.38,22.80,0.16,BWT_TEXT,yes,23.11,0.998,bzip2
YAML config,256KB,262144,11842,18253,20185,11815,18248,0,18331,20334,0,0,556.25,276.42,22.40,0.22,BWT_TEXT,yes,22.14,0.998,bzip2
Natural text,64KB,65536,7435,10556,10567,7418,10508,0,10583,11527,0,0,153.51,50.23,20.24,0.12,BWT_TEXT,yes,8.81,0.998,bzip2
Email headers,256KB,262144,22007,32447,35222,21956,31860,0,31945,36304,0,0,460.10,198.59,27.93,0.27,BWT_TEXT,yes,11.91,0.998,bzip2
GraphQL queries,256KB,262144,7972,13773,16171,7952,15048,0,15132,15323,0,0,637.84,359.59,21.33,0.18,BWT_TEXT,yes,32.88,0.997,bzip2
.env file,256KB,262144,73151,80191,82468,72967,80684,0,80767,84427,0,0,468.15,151.78,27.66,0.38,BWT_TEXT,yes,3.58,0.997,bzip2
package.json,64KB,65536,4953,6734,6944,4940,6420,0,6505,7528,0,0,161.57,49.86,21.02,0.08,BWT_TEXT,yes,13.23,0.997,bzip2
Go,64KB,65536,3519,4407,4590,3509,4448,0,4526,4703,0,0,221.96,111.37,19.19,0.06,BWT_TEXT,yes,18.62,0.997,bzip2
HTML,64KB,65469,5836,8534,8831,5819,8408,0,8486,9329,0,0,166.56,51.39,19.97,0.10,BWT_TEXT,yes,11.22,0.997,bzip2
Python,64KB,65536,5489,7182,7488,5471,7168,0,7243,7715,0,0,197.07,78.94,16.09,0.10,BWT_TEXT,yes,11.94,0.997,bzip2
Email headers,64KB,65536,6964,9317,9547,6939,9108,0,9192,10287,0,0,175.61,60.82,18.63,0.10,BWT_TEXT,yes,9.41,0.996,bzip2
TOML config,64KB,65536,8091,10561,10562,8059,10464,0,10547,11972,0,0,165.03,51.83,16.51,0.12,BWT_TEXT,yes,8.10,0.996,bzip2
YAML config,64KB,65536,3942,5353,5625,3926,5284,0,5370,5967,0,0,193.55,87.23,19.89,0.07,BWT_TEXT,yes,16.63,0.996,bzip2
K8s manifests,256KB,262144,7827,10238,13553,7795,11504,0,11589,11700,0,0,534.01,278.32,19.22,0.15,BWT_TEXT,yes,33.49,0.996,bzip2
GraphQL queries,64KB,65536,2909,4290,4556,2895,4504,0,4589,4828,0,0,233.30,127.39,21.52,0.08,BWT_TEXT,yes,22.53,0.995,bzip2
Docker Compose,64KB,65536,2230,2313,2694,2217,2504,0,2587,2569,0,0,249.99,141.76,19.05,0.05,BWT_TEXT,yes,29.39,0.994,bzip2
INI config,16KB,16384,2863,3599,3623,2845,3688,0,3764,3972,0,0,79.13,9.37,13.71,0.06,KV_CONFIG,yes,5.72,0.994,bzip2
TypeScript/JSX,64KB,65536,4494,6410,6827,4464,6316,0,6392,7082,0,0,202.57,79.26,20.18,0.08,BWT_TEXT,yes,14.58,0.993,bzip2
.env file,16KB,16384,5809,5809,5886,5765,5932,0,6008,6172,0,0,77.92,6.94,0.06,0.04,BWT_TEXT,yes,2.82,0.992,bzip2
Markdown docs,64KB,65536,3901,6171,6406,3869,6236,0,6320,6855,0,0,175.90,68.24,20.26,0.08,BWT_TEXT,yes,16.80,0.992,bzip2
Nginx access log,64KB,65536,7052,8539,8699,6993,8232,0,8317,9734,0,0,163.21,59.04,19.06,0.09,BWT_TEXT,yes,9.29,0.992,bzip2
INI config,64KB,65536,10361,13700,13597,10274,13524,0,13601,14680,0,0,136.66,41.02,17.97,0.14,KV_CONFIG,yes,6.33,0.992,bzip2
Metrics/TSeries,1MB,1048576,121394,130480,139986,120314,129796,0,129881,160135,0,0,1411.90,616.52,51.15,0.97,TEMPLATE,yes,8.64,0.991,bzip2
Cargo.toml,64KB,65536,3624,5072,5195,3590,4916,0,5001,5482,0,0,186.76,73.37,20.44,0.09,BWT_TEXT,yes,18.08,0.991,bzip2
Bash script,64KB,65536,3775,5288,5457,3739,5528,0,5612,5795,0,0,190.91,74.97,18.46,0.07,BWT_TEXT,yes,17.36,0.990,bzip2
Nginx access log,256KB,262144,23710,31220,32631,23460,30016,0,30100,35381,0,0,474.52,222.62,26.45,0.24,BWT_TEXT,yes,11.06,0.989,bzip2
Unicode text,256KB,262144,7764,12874,14078,7681,13916,0,14001,13743,0,0,489.17,265.38,23.62,0.20,BWT_TEXT,yes,33.76,0.989,bzip2
Rust,64KB,65536,3628,4785,5035,3579,4852,0,4930,5147,0,0,198.51,93.88,19.34,0.06,BWT_TEXT,yes,18.06,0.986,bzip2
C,4KB,4096,957,957,991,943,1004,0,1079,1060,0,0,61.93,2.01,0.04,0.01,BWT_TEXT,yes,4.28,0.985,bzip2
PHP,16KB,16384,1645,1645,1748,1619,1676,0,1754,1786,0,0,86.02,16.07,0.05,0.02,BWT_TEXT,yes,9.96,0.984,bzip2
SQL dump,64KB,65336,4902,6989,7122,4824,6912,0,6990,7467,0,0,170.32,67.46,16.31,0.08,BWT_TEXT,yes,13.33,0.984,bzip2
Natural text,16KB,16384,2065,2940,2974,2030,3020,0,3096,3237,0,0,91.35,9.48,20.50,0.05,BWT_TEXT,yes,7.93,0.983,bzip2
K8s manifests,64KB,65536,3430,3763,4107,3371,3848,0,3933,4082,0,0,200.50,97.79,15.24,0.06,BWT_TEXT,yes,19.11,0.983,bzip2
C,16KB,16384,2146,2431,2530,2108,2444,0,2520,2629,0,0,89.96,14.68,13.19,0.04,BWT_TEXT,yes,7.63,0.982,bzip2
Cargo.toml,16KB,16384,1646,1796,1810,1616,1776,0,1852,1926,0,0,86.15,18.56,14.57,0.03,BWT_TEXT,yes,9.95,0.982,bzip2
Markdown docs,16KB,16384,1722,2178,2231,1687,2256,0,2331,2399,0,0,89.65,13.36,18.36,0.04,BWT_TEXT,yes,9.51,0.980,bzip2
Metrics/TSeries,16KB,16384,2485,2804,2814,2426,2808,0,2884,3246,0,0,25.42,11.16,14.05,0.04,TEMPLATE,yes,6.59,0.976,bzip2
HTML,16KB,16377,2295,2785,2867,2240,2824,0,2900,3032,0,0,89.60,11.69,14.96,0.05,BWT_TEXT,yes,7.14,0.976,bzip2
CSS,16KB,16384,1861,2071,2088,1816,2092,0,2168,2235,0,0,95.11,14.03,14.52,0.04,BWT_TEXT,yes,8.80,0.976,bzip2
Email headers,16KB,16384,2716,2998,3043,2650,2976,0,3051,3243,0,0,98.82,11.15,18.41,0.04,BWT_TEXT,yes,6.03,0.976,bzip2
CSS,64KB,65536,4262,5961,5990,4156,6004,0,6087,6556,0,0,179.60,68.59,19.62,0.07,BWT_TEXT,yes,15.38,0.975,bzip2
TOML config,16KB,16384,2545,3131,3094,2479,3108,0,3185,3467,0,0,83.61,11.87,14.73,0.04,BWT_TEXT,yes,6.44,0.974,bzip2
Unicode text,64KB,65536,2552,3830,3981,2484,3992,0,4076,4155,0,0,166.59,73.90,15.85,0.07,BWT_TEXT,yes,25.68,0.973,bzip2
Nginx access log,16KB,16384,2596,2682,2687,2524,2636,0,2714,3020,0,0,77.91,17.03,13.75,0.04,BWT_TEXT,yes,6.31,0.972,bzip2
package.json,16KB,16384,1910,2166,2199,1854,2128,0,2206,2397,0,0,82.43,10.85,13.01,0.04,BWT_TEXT,yes,8.58,0.971,bzip2
TypeScript/JSX,16KB,16384,1995,2241,2319,1936,2256,0,2332,2413,0,0,88.17,15.33,14.58,0.05,BWT_TEXT,yes,8.21,0.970,bzip2
Python,16KB,16384,2585,2701,2778,2505,2760,0,2835,2894,0,0,103.64,12.30,18.19,0.04,BWT_TEXT,yes,6.34,0.969,bzip2
HTML,4KB,4011,1027,1027,1045,992,1092,0,1168,1134,0,0,59.12,2.61,0.04,0.02,BWT_TEXT,yes,3.91,0.966,bzip2
SQL dump,16KB,16234,2045,2342,2369,1975,2348,0,2423,2499,0,0,97.87,13.23,22.10,0.04,BWT_TEXT,yes,7.94,0.966,bzip2
Java,16KB,16384,1768,1858,1987,1706,1876,0,1952,1977,0,0,84.94,12.91,13.94,0.04,BWT_TEXT,yes,9.27,0.965,bzip2
YAML config,16KB,16384,1691,1806,1863,1628,1808,0,1883,1959,0,0,98.87,19.56,18.71,0.04,BWT_TEXT,yes,9.69,0.963,bzip2
Bash script,16KB,16384,1740,1859,1897,1670,1936,0,2014,2033,0,0,92.03,17.01,13.20,0.03,BWT_TEXT,yes,9.42,0.960,bzip2
Rust,16KB,16384,1775,1814,1840,1702,1852,0,1927,1929,0,0,96.40,21.51,12.42,0.03,BWT_TEXT,yes,9.23,0.959,bzip2
GraphQL queries,16KB,16384,1417,1610,1678,1357,1704,0,1779,1824,0,0,94.52,18.79,16.40,0.03,BWT_TEXT,yes,11.56,0.958,bzip2
Metrics/TSeries,4KB,4096,981,981,991,925,1012,0,1089,1129,0,0,9.02,1.94,0.02,0.01,TEMPLATE,yes,4.18,0.943,bzip2
Unicode text,16KB,16384,1181,1340,1399,1101,1380,0,1456,1512,0,0,92.09,13.98,20.45,0.04,BWT_TEXT,yes,13.87,0.932,bzip2
Markdown docs,4KB,4096,751,752,783,687,828,0,903,876,0,0,68.13,2.57,15.30,0.02,BWT_TEXT,yes,5.45,0.915,bzip2
TOML config,4KB,4096,1064,1086,1078,969,1124,0,1201,1198,0,0,60.37,1.73,14.76,0.02,BWT_TEXT,yes,3.85,0.911,bzip2
Natural text,4KB,4096,741,900,915,653,984,0,1059,1032,0,0,64.27,1.73,17.40,0.02,BWT_TEXT,yes,5.53,0.881,bzip2
