type,size,original,mzip,zstd,gzip,bzip2,xz,brotli,7z,rar,lz4,snappy,time_mzip,time_zstd,decomp_mzip,decomp_zstd,detected,verified,mzip_ratio,advantage,winner
Email headers,16KB,16384,2707,2998,3043,2650,2976,2798,3051,3243,0,0,76.37,10.10,11.76,0.03,BWT_TEXT,yes,6.05,0.979,bzip2
Markdown docs,16KB,16384,1724,2178,2231,1687,2256,2056,2331,2399,0,0,67.61,11.80,11.02,0.03,BWT_TEXT,yes,9.50,0.979,bzip2
Rust,64KB,65536,3658,4785,5035,3579,4852,4394,4930,5147,0,0,185.83,93.98,12.67,0.08,BWT_TEXT,yes,17.92,0.978,bzip2
JSON structured log,256KB,262144,32451,32451,35257,31698,32880,31906,32965,39993,0,0,495.87,193.39,0.27,0.24,RAW,yes,8.08,0.977,bzip2
HTML,16KB,16377,2294,2785,2867,2240,2824,2508,2900,3032,0,0,68.54,9.36,11.58,0.04,BWT_TEXT,yes,7.14,0.976,bzip2
JSON structured log,64KB,65536,8446,8446,9194,8468,8680,8221,8763,10416,0,0,159.88,46.05,0.09,0.08,RAW,yes,7.76,0.973,brotli
JSON structured log,1MB,1048576,128402,128402,139559,124966,129456,126273,129539,157871,0,0,1817.99,609.24,1.19,0.89,RAW,yes,8.17,0.973,bzip2
Unicode text,64KB,65536,2554,3830,3981,2484,3992,3798,4076,4155,0,0,155.08,70.96,13.08,0.06,BWT_TEXT,yes,25.66,0.973,bzip2
TypeScript/JSX,16KB,16384,1992,2241,2319,1936,2256,1982,2332,2413,0,0,73.61,14.32,11.70,0.04,BWT_TEXT,yes,8.22,0.972,bzip2
package.json,16KB,16384,1910,2166,2199,1854,2128,1965,2206,2397,0,0,65.76,9.40,12.13,0.04,BWT_TEXT,yes,8.58,0.971,bzip2
TOML config,16KB,16384,2556,3131,3094,2479,3108,2933,3185,3467,0,0,66.28,8.30,12.65,0.04,BWT_TEXT,yes,6.41,0.970,bzip2
C,16KB,16384,2176,2431,2530,2108,2444,2188,2520,2629,0,0,78.34,12.30,12.00,0.03,BWT_TEXT,yes,7.53,0.969,bzip2
Cargo.toml,16KB,16384,1670,1796,1810,1616,1776,1648,1852,1926,0,0,71.17,12.92,12.72,0.02,BWT_TEXT,yes,9.81,0.968,bzip2
Terraform HCL,1MB,1048576,43169,46609,57256,43719,44116,41765,44202,54697,0,0,2880.47,2045.82,40.17,0.56,BWT_TEXT,yes,24.29,0.967,brotli
.env file,16KB,16384,5809,5809,5886,5765,5932,5609,6008,6172,0,0,77.59,6.83,0.06,0.04,BWT_TEXT,yes,2.82,0.966,brotli
CSS,16KB,16384,1888,2071,2088,1816,2092,1847,2168,2235,0,0,73.86,12.96,15.48,0.03,BWT_TEXT,yes,8.68,0.962,bzip2
Terraform HCL,256KB,262144,11365,11884,14975,11320,11512,10928,11597,14238,0,0,630.87,398.81,17.05,0.17,BWT_TEXT,yes,23.07,0.962,brotli
SQL dump,16KB,16234,2062,2342,2369,1975,2348,2150,2423,2499,0,0,68.38,12.52,11.54,0.02,BWT_TEXT,yes,7.87,0.958,bzip2
Bash script,16KB,16384,1751,1859,1897,1670,1936,1681,2014,2033,0,0,70.36,14.06,11.22,0.02,BWT_TEXT,yes,9.36,0.954,bzip2
.env file,4KB,4096,1746,1746,1757,1849,1836,1654,1911,1858,0,0,48.24,1.21,0.04,0.02,BWT_TEXT,yes,2.35,0.947,brotli
YAML config,16KB,16384,1688,1806,1863,1628,1808,1597,1883,1959,0,0,70.66,16.00,11.06,0.02,BWT_TEXT,yes,9.71,0.946,brotli
Python,16KB,16384,2579,2701,2778,2505,2760,2423,2835,2894,0,0,73.63,12.15,11.78,0.04,BWT_TEXT,yes,6.35,0.940,brotli
JSON structured log,16KB,16384,2477,2477,2642,2627,2600,2308,2676,2940,0,0,70.55,10.27,0.04,0.03,RAW,yes,6.61,0.932,brotli
Rust,16KB,16384,1766,1814,1840,1702,1852,1641,1927,1929,0,0,82.37,19.70,13.65,0.04,BWT_TEXT,yes,9.28,0.929,brotli
Unicode text,16KB,16384,1188,1340,1399,1101,1380,1284,1456,1512,0,0,73.76,13.40,11.15,0.02,BWT_TEXT,yes,13.79,0.927,bzip2
Docker Compose,64KB,65536,2268,2313,2694,2217,2504,2100,2587,2569,0,0,222.84,134.19,13.89,0.04,BWT_TEXT,yes,28.90,0.926,brotli
Metrics/TSeries,1MB,1048576,130480,130480,139986,120314,129796,128613,129881,160135,0,0,1872.44,619.76,1.37,0.92,TEMPLATE,yes,8.04,0.922,bzip2
Nginx access log,16KB,16384,2682,2682,2687,2524,2636,2435,2714,3020,0,0,72.03,13.19,0.05,0.04,COLUMNAR,yes,6.11,0.908,brotli
C,4KB,4096,957,957,991,943,1004,865,1079,1060,0,0,53.72,2.04,0.04,0.01,BWT_TEXT,yes,4.28,0.904,brotli
Go,4KB,4096,846,846,849,1003,888,763,963,926,0,0,58.62,3.46,0.03,0.01,BWT_TEXT,yes,4.84,0.902,brotli
Go,16KB,16384,1733,1733,1759,1758,1760,1561,1836,1851,0,0,85.58,20.68,0.04,0.03,BWT_TEXT,yes,9.45,0.901,brotli
Bash script,4KB,4096,853,853,875,941,900,765,978,959,0,0,47.99,2.32,0.03,0.01,BWT_TEXT,yes,4.80,0.897,brotli
K8s manifests,64KB,65536,3763,3763,4107,3371,3848,3370,3933,4082,0,0,251.33,84.10,0.08,0.06,RAW,yes,17.42,0.896,brotli
Cargo.toml,4KB,4096,815,815,829,897,856,729,934,904,0,0,51.50,2.39,0.03,0.01,BWT_TEXT,yes,5.03,0.894,brotli
Metrics/TSeries,4KB,4096,981,981,991,925,1012,876,1089,1129,0,0,8.20,1.88,0.02,0.01,TEMPLATE,yes,4.18,0.893,brotli
Terraform HCL,64KB,65536,3478,3478,4208,3577,3492,3099,3576,4008,0,0,181.07,86.94,0.07,0.06,BWT_TEXT,yes,18.84,0.891,brotli
Java,16KB,16384,1783,1858,1987,1706,1876,1585,1952,1977,0,0,67.55,8.26,13.24,0.03,BWT_TEXT,yes,9.19,0.889,brotli
Metrics/TSeries,256KB,262144,34067,34067,35555,30165,33652,33532,33738,41274,0,0,543.35,181.39,0.30,0.27,TEMPLATE,yes,7.69,0.885,bzip2
K8s manifests,4KB,4096,847,847,859,951,908,749,984,950,0,0,48.50,3.01,0.03,0.01,RAW,yes,4.84,0.884,brotli
Rust,4KB,4096,895,895,901,973,948,790,1023,981,0,0,48.74,2.69,0.03,0.01,BWT_TEXT,yes,4.58,0.883,brotli
K8s manifests,16KB,16384,1684,1684,1752,1767,1716,1485,1791,1838,0,0,79.82,16.23,0.04,0.02,RAW,yes,9.73,0.882,brotli
Natural text,4KB,4096,741,900,915,653,984,884,1059,1032,0,0,48.91,1.67,10.91,0.02,BWT_TEXT,yes,5.53,0.881,bzip2
Email headers,4KB,4096,1166,1166,1188,1201,1208,1027,1284,1283,0,0,46.95,1.87,0.03,0.01,BWT_TEXT,yes,3.51,0.881,brotli
Docker Compose,16KB,16384,1016,1016,1087,1180,1072,893,1148,1113,0,0,86.99,28.63,0.03,0.01,BWT_TEXT,yes,16.13,0.879,brotli
GraphQL queries,4KB,4096,734,734,756,753,792,645,870,847,0,0,52.72,2.95,0.03,0.01,RAW,yes,5.58,0.879,brotli
TOML config,4KB,4096,1064,1086,1078,969,1124,934,1201,1198,0,0,48.95,1.64,11.26,0.02,BWT_TEXT,yes,3.85,0.878,brotli
Unicode text,4KB,4096,626,626,647,647,652,549,730,723,0,0,46.57,2.38,0.03,0.01,BWT_TEXT,yes,6.54,0.877,brotli
Nginx access log,4KB,4096,1051,1051,1062,1121,1076,917,1151,1151,0,0,45.47,2.61,0.03,0.02,BWT_TEXT,yes,3.90,0.873,brotli
Python,4KB,4096,1145,1145,1170,1211,1224,999,1301,1268,0,0,48.01,1.93,0.03,0.01,BWT_TEXT,yes,3.58,0.872,brotli
Terraform HCL,16KB,16384,1295,1295,1470,1508,1320,1129,1397,1443,0,0,82.90,16.37,0.04,0.02,BWT_TEXT,yes,12.65,0.872,brotli
JavaScript,4KB,4096,1084,1084,1110,1164,1140,945,1215,1184,0,0,56.82,1.96,0.03,0.01,BWT_TEXT,yes,3.78,0.872,brotli
Markdown docs,4KB,4096,751,752,783,687,828,653,903,876,0,0,60.84,3.24,13.62,0.02,BWT_TEXT,yes,5.45,0.870,brotli
package.json,4KB,4096,842,842,857,859,872,731,948,947,0,0,49.58,1.58,0.03,0.01,BWT_TEXT,yes,4.86,0.868,brotli
Metrics/TSeries,16KB,16384,2804,2804,2814,2426,2808,2642,2884,3246,0,0,30.81,10.55,0.03,0.03,TEMPLATE,yes,5.84,0.865,bzip2
PHP,16KB,16384,1645,1645,1748,1619,1676,1421,1754,1786,0,0,72.03,15.92,0.04,0.02,BWT_TEXT,yes,9.96,0.864,brotli
SQL dump,4KB,3939,962,962,973,981,1000,828,1078,1050,0,0,49.96,2.04,0.03,0.01,BWT_TEXT,yes,4.09,0.861,brotli
Metrics/TSeries,64KB,65536,9343,9343,9457,8033,9284,9107,9367,11152,0,0,135.09,50.19,0.10,0.09,TEMPLATE,yes,7.01,0.860,bzip2
JSON structured log,4KB,4096,897,897,931,1005,972,768,1048,1018,0,0,43.70,1.85,0.03,0.01,RAW,yes,4.57,0.856,brotli
PHP,4KB,4096,792,792,817,882,840,678,918,885,0,0,50.42,3.33,0.04,0.02,BWT_TEXT,yes,5.17,0.856,brotli
Makefile,4KB,4096,816,816,860,873,868,697,943,900,0,0,46.70,2.56,0.03,0.02,BWT_TEXT,yes,5.02,0.854,brotli
CSS,4KB,4096,860,860,878,894,916,733,992,953,0,0,47.99,2.26,0.03,0.01,BWT_TEXT,yes,4.76,0.852,brotli
TypeScript/JSX,4KB,4096,987,987,1009,995,1032,840,1107,1085,0,0,59.92,2.18,0.04,0.01,BWT_TEXT,yes,4.15,0.851,brotli
YAML config,4KB,4096,745,745,774,814,796,633,872,833,0,0,54.20,4.75,0.03,0.02,BWT_TEXT,yes,5.50,0.850,brotli
Docker Compose,4KB,4096,608,608,629,717,648,515,725,698,0,0,72.31,5.97,0.04,0.01,BWT_TEXT,yes,6.74,0.847,brotli
GraphQL queries,16KB,16384,1610,1610,1678,1357,1704,1522,1779,1824,0,0,83.29,18.13,0.04,0.02,RAW,yes,10.18,0.843,bzip2
Java,4KB,4096,821,821,837,863,876,690,951,906,0,0,49.85,1.47,0.03,0.01,BWT_TEXT,yes,4.99,0.840,brotli
Terraform HCL,4KB,4096,687,687,721,843,752,571,827,780,0,0,56.38,2.89,0.03,0.01,BWT_TEXT,yes,5.96,0.831,brotli
HTML,4KB,4011,1027,1027,1045,992,1092,821,1168,1134,0,0,53.54,1.79,0.03,0.02,BWT_TEXT,yes,3.91,0.799,brotli
K8s manifests,256KB,262144,10238,10238,13553,7795,11504,9620,11589,11700,0,0,701.63,265.59,0.18,0.15,RAW,yes,25.61,0.761,bzip2
K8s manifests,1MB,1048576,33607,33607,50913,24967,40172,32579,40256,38840,0,0,2087.46,736.53,0.77,0.44,RAW,yes,31.20,0.743,bzip2
Image gradient,4KB,4096,36,36,62,63,96,26,172,114,0,0,39.40,0.04,10.27,0.00,NUMERIC,yes,113.78,0.722,brotli
GraphQL queries,64KB,65536,4290,4290,4556,2895,4504,4179,4589,4828,0,0,281.05,101.72,0.08,0.07,RAW,yes,15.28,0.675,bzip2
GraphQL queries,1MB,1048576,49037,49037,62686,29312,55592,49610,55677,55413,0,0,2806.47,1094.70,0.87,0.56,RAW,yes,21.38,0.598,bzip2
GraphQL queries,256KB,262144,13773,13773,16171,7952,15048,13852,15132,15323,0,0,850.27,334.57,0.22,0.18,RAW,yes,19.03,0.577,bzip2
